ticker,name,sector,cap_tier,avg_volume,exchange
DIA,SPDR Dow Jones Industrial Avera,N/A,Large-Cap,6310732,PCX
HMC,"Honda Motor Company, Ltd.",Consumer Cyclical,Large-Cap,1027359,NYQ
CCL,Carnival Corporation,Consumer Cyclical,Large-Cap,21216451,NYQ
CUK,Carnival Plc,Consumer Cyclical,Large-Cap,1925893,NYQ
PAYX,"Paychex, Inc.",Technology,Large-Cap,3180272,NMS
ALC,Alcon Inc.,Healthcare,Large-Cap,1698396,NYQ
VMC,Vulcan Materials Company (Holdi,Basic Materials,Large-Cap,1040191,NYQ
NUE,Nucor Corporation,Basic Materials,Large-Cap,1559359,NYQ
PEG,Public Service Enterprise Group,Utilities,Large-Cap,2741687,NYQ
TRGP,"Targa Resources, Inc.",Energy,Large-Cap,1476687,NYQ
